id,title,circrna_id,circ_rna_name,circrna_synonyms,disease_details,method,species,expression_pattern,description
1880,Screening for Differentially Expressed Circular RNAs in the Cartilage of Osteoarthritis Patients for Their Diagnostic Value.,-,-,hsa_circ_0134111_CBC1,osteoarthritis,"RT-qPCR, microarray",human,up-regulated,"Five differentially expressed circRNAs were selected for further qRT-PCR verification, including four upregulated (hsa_circ_0057421_CBC1, hsa_circ_0020014_CBC1, hsa_ circ_0032131_CBC1, and hsa_circ_00134111_CBC1) and one downregulated circRNA (hsa_circ_0094742_CBC1) for validation in five pairs of chondrocyte samples. It was shown that hsa_circ_0032131_CBC5 is highly consistent in microarray analysis and qRT-PCR verification, which demonstrated the high reliability of the chip analysis data."
1881,CircFOXO3 promotes glioblastoma progression by acting as a competing endogenous RNA for NFAT5.,-,hsa_circ_FOXO3,-,glioblastoma,RT-qPCR,human,up-regulated,tumor inhibition by circFOXO3 downregulation could be reversed by miR-138-5p/miR-432-5p inhibitors in GBM cells.
1882,High throughput circRNA sequencing analysis reveals novel insights into the mechanism of nitidine chloride against hepatocellular carcinoma.,hsa_circ_0088364,hsa_circ_MRRF,-,hepatocellular carcinoma,"RT-qPCR, RNA-seq",human,dysregulated,"In conclusion, in this study, we identified a population of circRNAs differentially expressed in NC-treated and NC-untreated HCC xenografts in nude mice tissues by high-throughput sequencing analysis and verified the expression of hsa_circ_0088364 and hsa_circ_0090049 by RT-qPCR."
1883,High throughput circRNA sequencing analysis reveals novel insights into the mechanism of nitidine chloride against hepatocellular carcinoma.,hsa_circ_0090049,hsa_circ_MBTPS2,-,hepatocellular carcinoma,"RT-qPCR, RNA-seq",human,dysregulated,"In conclusion, in this study, we identified a population of circRNAs differentially expressed in NC-treated and NC-untreated HCC xenografts in nude mice tissues by high-throughput sequencing analysis and verified the expression of hsa_circ_0088364 and hsa_circ_0090049 by RT-qPCR."
1884,A circular RNA derived from MMP9 facilitates oral squamous cell carcinoma metastasis through regulation of MMP9 mRNA stability.,-,hsa_circ_MMP9,circ-MMP9,oral squamous cell carcinoma,RT-qPCR,human,up-regulated,circular matrix metalloproteinase 9 acts as a metastasis-promoting gene in oral squamous cell carcinoma through regulating the messenger RNA stability of its parental gene.
1885,circPTN sponges miR-145-5p/miR-330-5p to promote proliferation and stemness in glioma.,-,hsa_circ_PTN,circPTN,glioma,RT-qPCR,human,up-regulated,circPTN is an oncogenic factor that acts by sponging miR-145-5p/miR-330-5p in glioma.
1886,CircAnks1a in the spinal cord regulates hypersensitivity in a rodent model of neuropathic pain.,-,rno_circ_ANKS1A,-,neuropathic pain,"RT-qPCR, RNA-seq",rat,up-regulated,circAnks1a and VEGFB are regulators of neuropathic pain.
1887,Homo Sapiens Circular RNA 0079993 (hsa_circ_0079993) of the POLR2J4 Gene Acts as an Oncogene in Colorectal Cancer Through the microRNA-203a-3p1 and CREB1 Axis.,hsa_circ_0079993,hsa_circ_POLR2J4,-,colorectal cancer,RT-qPCR,human,up-regulated,hsa_circ_0079993 acts as an oncogene in CRC through the miRNA-203a-3p.1/CREB1 axis.
1888,"FBXW7 circular RNA regulates proliferation, migration and invasion of colorectal carcinoma through NEK2, mTOR, and PTEN signaling pathways in vitro and in vivo.",-,hsa_circ_FBXW7,-,colorectal cancer,RT-qPCR,human,down-regulated,"circ-FBXW7 plays a major role in controlling the progression of CRC through NEK2, mTOR, and PTEN signaling pathways and may be a potential therapeutic target for CRC treatment."
1889,Downregulation of circular RNA circ-LDLRAD3 suppresses pancreatic cancer progression through miR-137-3p/PTN axis.,-,hsa_circ_LDLRAD3,-,pancreatic cancer,RT-qPCR,human,up-regulated,"knockdown of circ-LDLRAD3 repressed the proliferation, migration and invasion of pancreatic cancer cells through miR-137-3p/PTN axis."
1890,"Circ_0015756 promotes proliferation, invasion and migration by microRNA-7-dependent inhibition of FAK in hepatocellular carcinoma.",hsa_circ_0015756,hsa_circ_CFH,circ_0015756,hepatocellular carcinoma,RT-qPCR,human,up-regulated,"Circ_0015756 knockdown was shown to increase the expression of miR-7, reduce the proliferation, invasion, migration and resistance to apoptosis, and down-regulate the expression of FAK in HCC."
1891,Hsa_circ_0042666 inhibits proliferation and invasion via regulating miR-223/TGFBR3 axis in laryngeal squamous cell carcinoma.,hsa_circ_0042666,hsa_circ_SUPT6H,-,laryngeal squamous cell carcinoma,RT-qPCR,human,down-regulated,hsa_circ_0042666 regulated LSCC cells proliferation and invasion by miR-223/TGFBR3 axis.
1892,Preliminary Exploration of hsa_circ_0032131 Levels in Peripheral Blood as a Potential Diagnostic Biomarker of Osteoarthritis.,hsa_circ_0032131,hsa_circ_PRKCH,-,osteoarthritis,"RT-qPCR, RNA-seq",human,dysregulated,Our research indicates that differentially expressed circRNAs may be involved in the development of OA and could be used diagnostically.
1893,Circ-Foxo3 is positively associated with the Foxo3 gene and leads to better prognosis of acute myeloid leukemia patients.,-,hsa_circ_FOXO3,circFoxo3,acute myeloid leukemia,RT-qPCR,human,down-regulated,low expression of circ-Foxo3 and Foxo3 were frequent in AML patients.
1894,Plasma hsa_circ_0027089 is a diagnostic biomarker for hepatitis B virus-related hepatocellular carcinoma.,hsa_circ_0027089,hsa_circ_PTGES3,-,hepatocellular carcinoma,"RT-qPCR, microarray",human,up-regulated,"Twenty-four circRNAs were further investigated via quantitative reverse-transcriptase-polymerase chain reaction assay in a training cohort (n = 48), hsa_circ_0027089 exhibited the highest significance and further distinguished 64 HCC patients from 40 cirrhosis patients and 72 healthy participants in a validation cohort."
1895,circFBXW7 Inhibits Malignant Progression by Sponging miR-197-3p and Encoding a 185-aa Protein in Triple-Negative Breast Cancer.,-,hsa_circ_FBXW7,-,triple-negative breast cancer,RT-qPCR,human,down-regulated,circFBXW7 sponges miR-197-3p and encodes the FBXW7-185aa protein to suppress TNBC progression through upregulating FBXW7 expression.
1896,CircRNA UBAP2 promotes the progression of ovarian cancer by sponging microRNA-144.,-,hsa_circ_UBAP2,-,ovarian cancer,RT-qPCR,human,up-regulated,CircUBAP2 promotes the progression of ovarian cancer by adsorbing microRNA-144.
1897,Circular RNA CircFndc3b modulates cardiac repair after myocardial infarction via FUS/VEGF-A axis.,-,hsa_circ_Fndc3b,-,myocardial Infarction,RT-qPCR,human,down-regulated,circFndc3b interacts with the RNA binding protein Fused in Sarcoma to regulate VEGF expression and signaling.
1898,Downregulation of CircRNA CDR1as specifically triggered low-dose Diosbulbin-B induced gastric cancer cell death by regulating miR-7-5p/REGgamma axis.,hsa_circ_0001946,hsa_circ_CDR1,"ciRS-7, CDR1as",gastric cancer,RT-qPCR,human,dysregulated,knock-down of CircRNA CDR1as specifically promoted the cytotoxic effects of low-dose DB on GC cells instead of hepatocytes by regulating miR-7-5p/REGgamma axis.
1899,Upregulated circ_0005576 facilitates cervical cancer progression via the miR-153/KIF20A axis.,hsa_circ_0005576,hsa_circ_CDC42,circ_0005576,cervical cancer,RT-qPCR,human,up-regulated,circ_0005576/miR-153-3p/KIF20A axis promoting CC progression.
1900,Comprehensive expression profiles and bioinformatics analysis reveal special circular RNA expression and potential predictability in the peripheral blood of humans with idiopathic membranous nephropathy.,-,-,hsa_circ_101319,idiopathic membranous nephropathy,"RT-qPCR, microarray",human,up-regulated,The levels of circ_101319 were significantly higher (P<0.001) and exhibited promising diagnostic value in patients with IMN (area under ROC =0.89). The co_expression network constructed for circ_101319 indicated that it may be associated with membranous nephropathy_related pathways by mediating miRNAs.
1901,Comprehensive circular RNA profiling reveals the regulatory role of the hsa_circ_0137606/miR_1231 pathway in bladder cancer progression.,hsa_circ_0137606,hsa_circ_NIPSNAP3A,-,bladder cancer,"RT-qPCR, RNA-seq",human,down-regulated,"hsa_circ_0137606, could suppress BC proliferation and metastasis by sponging miR_1231."
1902,Circular RNA hsa_circ_0053277 promotes the development of colorectal cancer by upregulating matrix metallopeptidase 14 via miR-2467-3p sequestration.,hsa_circ_0053277,hsa_circ_NRBP1,-,colorectal cancer,RT-qPCR,human,up-regulated,hsa_circ_0053277 facilitated the development of CRC by sponging miR-2467-3p to upregulate MMP14 expression.
1903,Circular RNA Expression Profiles in Vaginal Epithelial Tissue of Women With Lubrication Disorders.,-,-,CBT15_circR_3896,lubrication disorder,"RT-qPCR, RNA-seq",human,down-regulated,differences in expression of 6 randomly selected circRNAs were confirmed through real-time quantitative polymerase chain reaction.
1904,Circular RNA Expression Profiles in Vaginal Epithelial Tissue of Women With Lubrication Disorders.,-,-,CBT15_circR_136,lubrication disorder,"RT-qPCR, RNA-seq",human,down-regulated,differences in expression of 6 randomly selected circRNAs were confirmed through real-time quantitative polymerase chain reaction.
1905,Circular RNA Expression Profiles in Vaginal Epithelial Tissue of Women With Lubrication Disorders.,-,-,CBT15_circR_3691,lubrication disorder,"RT-qPCR, RNA-seq",human,down-regulated,differences in expression of 6 randomly selected circRNAs were confirmed through real-time quantitative polymerase chain reaction.
1906,Circular RNA Expression Profiles in Vaginal Epithelial Tissue of Women With Lubrication Disorders.,-,-,CBT15_circR_3245,lubrication disorder,"RT-qPCR, RNA-seq",human,down-regulated,differences in expression of 6 randomly selected circRNAs were confirmed through real-time quantitative polymerase chain reaction.
1907,Circular RNA Expression Profiles in Vaginal Epithelial Tissue of Women With Lubrication Disorders.,-,-,CBT15_circR_6041,lubrication disorder,"RT-qPCR, RNA-seq",human,up-regulated,differences in expression of 6 randomly selected circRNAs were confirmed through real-time quantitative polymerase chain reaction.
1908,Circular RNA Expression Profiles in Vaginal Epithelial Tissue of Women With Lubrication Disorders.,-,-,CBT15_circR_6841,lubrication disorder,"RT-qPCR, RNA-seq",human,up-regulated,differences in expression of 6 randomly selected circRNAs were confirmed through real-time quantitative polymerase chain reaction.
1909,The circular RNA PVT1/miR-203/HOXD3 pathway promotes the progression of human hepatocellular carcinoma.,-,hsa_circ_PVT1,circPVT1,hepatocellular carcinoma,RT-qPCR,human,up-regulated,circPVT1 participates in the progression of HCC through the miR-203/homeobox D3 (HOXD3) pathway.
1910,CeRNA Expression Profiling Identifies KIT-Related circRNA-miRNA-mRNA Networks in Gastrointestinal Stromal Tumour.,hsa_circ_0069765,hsa_circ_KIT,circ_0069765,gastrointestinal stromal tumour,"RT-qPCR, RNA-seq",human,up-regulated,"In summary, the present research revealed the ceRNA expression profiles in GISTs and identified that three circRNAs (circ_0069765, circ_0079471 and circ_0084097) and three host genes (KIT, ETV1 and PLAT) were upregulated in GISTs using qRT-PCR."
1911,CeRNA Expression Profiling Identifies KIT-Related circRNA-miRNA-mRNA Networks in Gastrointestinal Stromal Tumour.,hsa_circ_0079471,hsa_circ_PLAT,circ_0079471,gastrointestinal stromal tumour,"RT-qPCR, RNA-seq",human,up-regulated,"In summary, the present research revealed the ceRNA expression profiles in GISTs and identified that three circRNAs (circ_0069765, circ_0079471 and circ_0084097) and three host genes (KIT, ETV1 and PLAT) were upregulated in GISTs using qRT-PCR."
1912,CeRNA Expression Profiling Identifies KIT-Related circRNA-miRNA-mRNA Networks in Gastrointestinal Stromal Tumour.,hsa_circ_0084097,hsa_circ_ETV1,circ_0084097,gastrointestinal stromal tumour,"RT-qPCR, RNA-seq",human,up-regulated,"In summary, the present research revealed the ceRNA expression profiles in GISTs and identified that three circRNAs (circ_0069765, circ_0079471 and circ_0084097) and three host genes (KIT, ETV1 and PLAT) were upregulated in GISTs using qRT-PCR."
1913,Microarray expression and functional analysis of circular RNAs in the glomeruli of NZB/W F1 mice with lupus nephritis.,-,-,mmu_circRNA_34428,lupus nephritis,"RT-qPCR, RNA-seq",mouse,up-regulated,mmu_circRNA_34428 could serve an important role in LN progression.
1914,Circular RNA PIP5K1A promotes colon cancer development through inhibiting miR-1273a.,-,hsa_circ_PIP5K1A,-,colon cancer,RT-qPCR,human,up-regulated,the oncogenic role of the circPIP5K1A-miR-1273a axis in regulation of colon cancer development provides a novel insights into colon cancer pathogenesis.
1915,"Crosstalk of mRNA, miRNA, lncRNA, and circRNA and Their Regulatory Pattern in Pulmonary Fibrosis.",-,-,circ949,pulmonary fibrosis,RNA-seq,mouse,up-regulated,The fibrotic function of lnc949 depended on its host gene FKBP5. circ949 and circ057 formed a regulatory network with lnc865 and lnc556 to simultaneously regulate miR-29b-2-5p targeting STAT3 phosphorylation.
1916,"Crosstalk of mRNA, miRNA, lncRNA, and circRNA and Their Regulatory Pattern in Pulmonary Fibrosis.",-,-,circ057,pulmonary fibrosis,RNA-seq,mouse,up-regulated,The fibrotic function of lnc949 depended on its host gene FKBP5. circ949 and circ057 formed a regulatory network with lnc865 and lnc556 to simultaneously regulate miR-29b-2-5p targeting STAT3 phosphorylation.
1917,Upregulated circRNA ARHGAP10 Predicts an Unfavorable Prognosis in NSCLC through Regulation of the miR-150-5p/GLUT-1 Axis.,-,hsa_circ_ARHGAP10,-,non-small cell lung cancer,"RT-qPCR, RNA-seq",human,up-regulated,Silencing circARHGAP10 also suppressed proliferation and metastasis by targeting the miR-150-5p/GLUT1 axis in NSCLC.
1918,"Circular RNA SMARCA5 inhibits the proliferation, migration, and invasion of non-small cell lung cancer by miR-19b-3p/HOXA9 axis.",-,hsa_circ_SMARCA5,-,non-small cell lung cancer,RT-qPCR,human,down-regulated,circSMARCA5 executed its inhibitory effects on NSCLC cell lines through miR-19b-3p/HOXA9 axis.
1919,Circular RNA hsa_circ_0006848 Related to Ribosomal Protein L6 Acts as a Novel Biomarker for Early Gastric Cancer.,hsa_circ_0006848,hsa_circ_FOXJ3,-,gastric cancer,RT-qPCR,human,down-regulated,plasma hsa_circ_0006848 may be a novel noninvasive biomarker in EGC diagnosis.
1920,Splicing factor derived circular RNA circUHRF1 accelerates oral squamous cell carcinoma tumorigenesis via feedback loop.,-,hsa_circ_UHRF1,-,oral squamous cell carcinoma,RT-qPCR,human,up-regulated,"circUHRF1 promoted the proliferation, migration, invasion, and epithelial mesenchymal transformation (EMT) in vitro and the tumor growth in vivo."
1921,Circular RNA circ-TSPAN4 promotes lung adenocarcinoma metastasis by upregulating ZEB1 via sponging miR-665.,-,hsa_circ_TSPAN4,circ-TSPAN4,lung cancer,RT-qPCR,human,up-regulated,Circ-TSPAN4 plays a pivotal metastasis-promoting role in LUAD through acting as a sponge for miR-665 and upregulating ZEB1.
1922,"Circular RNAs in Clear Cell Renal Cell Carcinoma: Their Microarray-Based Identification, Analytical Validation, and Potential Use in a Clinico-Genomic Model to Improve Prognostic Accuracy.",hsa_circ_0101692,-,-,clear cell renal cell carcinoma,"RT-qPCR, microarray",human,up-regulated,"Three relevant differentially expressed circRNAs were selected (circEGLN3, circNOX4, and circRHOBTB3), their circular nature was experimentally confirmed, and their expression-along with that of their linear counterparts-was measured in 99 malignant and 85 adjacent normal tissue samples using specifically established RT-qPCR assays."
1923,"Circular RNAs in Clear Cell Renal Cell Carcinoma: Their Microarray-Based Identification, Analytical Validation, and Potential Use in a Clinico-Genomic Model to Improve Prognostic Accuracy.",hsa_circ_0023984,hsa_circ_NOX4,-,clear cell renal cell carcinoma,"RT-qPCR, microarray",human,down-regulated,"Three relevant differentially expressed circRNAs were selected (circEGLN3, circNOX4, and circRHOBTB3), their circular nature was experimentally confirmed, and their expression-along with that of their linear counterparts-was measured in 99 malignant and 86 adjacent normal tissue samples using specifically established RT-qPCR assays."
1924,"Circular RNAs in Clear Cell Renal Cell Carcinoma: Their Microarray-Based Identification, Analytical Validation, and Potential Use in a Clinico-Genomic Model to Improve Prognostic Accuracy.",hsa_circ_0007444,hsa_circ_RHOBTB3,-,clear cell renal cell carcinoma,"RT-qPCR, microarray",human,down-regulated,"Three relevant differentially expressed circRNAs were selected (circEGLN3, circNOX4, and circRHOBTB3), their circular nature was experimentally confirmed, and their expression-along with that of their linear counterparts-was measured in 99 malignant and 87 adjacent normal tissue samples using specifically established RT-qPCR assays."
1925,Identification and characterization of circRNAs as competing endogenous RNAs for miRNA-mRNA in colorectal cancer.,-,-,circPIEZO1-3,colorectal cancer,RNA-seq,human,dysregulated,"we selected six circRNAs with the most significant differential expression to analyze their circRNA-miRNA-mRNA network. In addition, Kyoto Gene and Genomic Encyclopedia (KEGG) analyses were also performed."
1926,Identification and characterization of circRNAs as competing endogenous RNAs for miRNA-mRNA in colorectal cancer.,hsa_circ_0067163,hsa_circ_TPRA1,-,colorectal cancer,RNA-seq,human,dysregulated,"we selected six circRNAs with the most significant differential expression to analyze their circRNA-miRNA-mRNA network. In addition, Kyoto Gene and Genomic Encyclopedia (KEGG) analyses were also performed."
1927,Identification and characterization of circRNAs as competing endogenous RNAs for miRNA-mRNA in colorectal cancer.,hsa_circ_0140188,hsa_circ_DMD,-,colorectal cancer,RNA-seq,human,dysregulated,"we selected six circRNAs with the most significant differential expression to analyze their circRNA-miRNA-mRNA network. In addition, Kyoto Gene and Genomic Encyclopedia (KEGG) analyses were also performed."
1928,Identification and characterization of circRNAs as competing endogenous RNAs for miRNA-mRNA in colorectal cancer.,hsa_circ_0002632,hsa_circ_STIL,-,colorectal cancer,RNA-seq,human,dysregulated,"we selected six circRNAs with the most significant differential expression to analyze their circRNA-miRNA-mRNA network. In addition, Kyoto Gene and Genomic Encyclopedia (KEGG) analyses were also performed."
1929,Identification and characterization of circRNAs as competing endogenous RNAs for miRNA-mRNA in colorectal cancer.,hsa_circ_0001998,hsa_circ_FUT8,-,colorectal cancer,RNA-seq,human,dysregulated,"we selected six circRNAs with the most significant differential expression to analyze their circRNA-miRNA-mRNA network. In addition, Kyoto Gene and Genomic Encyclopedia (KEGG) analyses were also performed."
1930,Identification and characterization of circRNAs as competing endogenous RNAs for miRNA-mRNA in colorectal cancer.,hsa_circ_0023990,hsa_circ_NOX4,-,colorectal cancer,RNA-seq,human,dysregulated,"we selected six circRNAs with the most significant differential expression to analyze their circRNA-miRNA-mRNA network. In addition, Kyoto Gene and Genomic Encyclopedia (KEGG) analyses were also performed."
1931,CircRNA Cdr1as functions as a competitive endogenous RNA to promote hepatocellular carcinoma progression.,hsa_circ_0001946,hsa_circ_CDR1,"ciRS-7, CDR1as",hepatocellular carcinoma,RT-qPCR,human,up-regulated,circRNA Cdr1as serves as a ceRNA to promote the progression of HCC.
1932,CircERCC2 ameliorated intervertebral disc degeneration by regulating mitophagy and apoptosis through miR-182-5p/SIRT1 axis.,-,hsa_circ_ERCC2,-,intervertebral disc degeneration,"RT-qPCR, microarray",human,up-regulated,The effects of circERCC2 on NPCs and IVDD rat model were mediated by miR-182-5p/SIRT1 axis.
1933,CircCDR1as upregulates autophagy under hypoxia to promote tumor cell survival via AKT/ERK((1/2))/mTOR signaling pathways in oral squamous cell carcinomas.,hsa_circ_0001946,hsa_circ_CDR1,"ciRS-7, CDR1as",oral squamous cell carcinoma,RT-qPCR,human,up-regulated,high expression of circCDR1as enhanced the viability of OSCC cells under a hypoxic microenvironment by promoting autophagy.
1934,circRNA CDR1as Regulated the Proliferation of Human Periodontal Ligament Stem Cells under a Lipopolysaccharide-Induced Inflammatory Condition.,hsa_circ_0001946,hsa_circ_CDR1,"ciRS-7, CDR1as",periodontitis,RT-qPCR,human,down-regulated,CDR1as functioned as an miR-7 sponge to activate the ERK signal pathway to mediate the inhibition effect of LPS on cell proliferation.
1935,Circular RNA CDR1as sponges miR-7-5p to enhance E2F3 stability and promote the growth of nasopharyngeal carcinoma.,hsa_circ_0001946,hsa_circ_CDR1,"ciRS-7, CDR1as",nasopharyngeal carcinoma,RT-qPCR,human,up-regulated,CircRNA CDR1as promoted the occurrence and development of NPCs by successively up-regulating the expression of miR-7-5p and E2F3.
1936,CircUBAP2-mediated competing endogenous RNA network modulates tumorigenesis in pancreatic adenocarcinoma.,-,hsa_circ_UBAP2,-,pancreatic cancer,microarray,human,up-regulated,circUBAP2-mediated ceRNA network modulates PAAD by regulating the infiltration and function of immune cells.
1937,Profiling and bioinformatics analyses reveal differential circular RNA expression in ovarian cancer.,hsa_circ_0002711,hsa_circ_NRIP1,-,ovarian cancer,"RT-qPCR, RNA-seq",human,up-regulated,"Using real-time PCR, we verified the significant upregulation of these 5 circRNAs in OC patient serum."
1938,Profiling and bioinformatics analyses reveal differential circular RNA expression in ovarian cancer.,-,-,chr5:170610175-170632616+,ovarian cancer,"RT-qPCR, RNA-seq",human,up-regulated,"Using real-time PCR, we verified the significant upregulation of these 5 circRNAs in OC patient serum."
1939,Profiling and bioinformatics analyses reveal differential circular RNA expression in ovarian cancer.,hsa_circ_0001756,hsa_circ_HIPK2,-,ovarian cancer,"RT-qPCR, RNA-seq",human,up-regulated,"Using real-time PCR, we verified the significant upregulation of these 5 circRNAs in OC patient serum."
1940,Profiling and bioinformatics analyses reveal differential circular RNA expression in ovarian cancer.,-,-,chr4:147227078-147230127-,ovarian cancer,"RT-qPCR, RNA-seq",human,up-regulated,"Using real-time PCR, we verified the significant upregulation of these 5 circRNAs in OC patient serum."
1941,Profiling and bioinformatics analyses reveal differential circular RNA expression in ovarian cancer.,-,-,chr16:53175091-53191453+,ovarian cancer,"RT-qPCR, RNA-seq",human,up-regulated,"Using real-time PCR, we verified the significant upregulation of these 5 circRNAs in OC patient serum."
1942,Circular RNA CircEZH2 Suppresses Transmissible Gastroenteritis Coronavirus-induced Opening of Mitochondrial Permeability Transition Pore via Targeting MiR-22 in IPEC-J2.,-,hsa_circ_EZH2,-,transmissible gastroenteritis,RT-qPCR,human,up-regulated,circular RNA circEZH2 was down-regulated during TGEV infection and promoted the activation of nuclear factor kappa-light-chain-enhancer of activated B cells (NF-κB) via targeting miR-22 in porcine intestinal epithelial cell line (IPEC-J2).
1943,Reduction of circular RNA Foxo3 promotes prostate cancer progression and chemoresistance to docetaxel.,-,hsa_circ_FOXO3,circFoxo3,prostate cancer,RT-qPCR,human,up-regulated,"CircFoxo3 inhibited prostate cancer cell survival, migration, invasion and chemoresistance to docetaxel, which was related to circFoxo3s repression of Foxo3 and EMT."
1944,Circular RNA hsa_circ_0016070 Is Associated with Pulmonary Arterial Hypertension by Promoting PASMC Proliferation.,hsa_circ_0016070,hsa_circ_ATP2B4,-,pulmonary arterial hypertension,microarray,human,up-regulated,hsa_circ_0016070 was associated with vascular remodeling in PAH by promoting the proliferation of pulmonary artery smooth muscle cells (PASMCs) via the miR-942/CCND1.
1945,Circ-HIPK3 Strengthens the Effects of Adrenaline in Heart Failure by MiR-17-3p - ADCY6 Axis.,hsa_circ_0000284,hsa_circ_HIPK3,-,heart failure,RT-qPCR,human,up-regulated,the increased circ-HIPK3 can be a helper for adrenaline but was harmful for heart in the long run and might be an ideal therapeutic target of HF.
1946,"The circ_0021977/miR-10b-5p/P21 and P53 regulatory axis suppresses proliferation, migration, and invasion in colorectal cancer.",hsa_circ_0021977,-,circ_0021977,colorectal cancer,RT-qPCR,human,up-regulated,"circ_0021977/miR-10b-5p/p21&p53 regulatory axis suppresses proliferation, migration, and invasion by CRC cells."
1947,Hsa_circ_0028502 and hsa_circ_0076251 are potential novel biomarkers for hepatocellular carcinoma.,hsa_circ_0028502,hsa_circ_SLC24A6,-,hepatocellular carcinoma,"RT-qPCR, RNA-seq",human,up-regulated,hsa_circ_0028502 and hsa_circ_0076251 were potentially valuable biomarkers for HCC diagnosis.
1948,Hsa_circ_0028502 and hsa_circ_0076251 are potential novel biomarkers for hepatocellular carcinoma.,hsa_circ_0076252,hsa_circ_ZFAND3,-,hepatocellular carcinoma,"RT-qPCR, RNA-seq",human,up-regulated,hsa_circ_0028502 and hsa_circ_0076252 were potentially valuable biomarkers for HCC diagnosis.
1949,Aberrant dysregulated circular RNAs in the peripheral blood mononuclear cells of patients with rheumatoid arthritis revealed by RNA sequencing: novel diagnostic markers for RA.,hsa_circ_0000396,hsa_circ_SLC38A1,-,rheumatoid arthritis,RNA-seq,human,up-regulated,hsa_circ_0000396 and hsa_circ_0130438 were downregulated in the RA group versus the healthy group.
1950,Aberrant dysregulated circular RNAs in the peripheral blood mononuclear cells of patients with rheumatoid arthritis revealed by RNA sequencing: novel diagnostic markers for RA.,hsa_circ_0130438,hsa_circ_KPNA5,-,rheumatoid arthritis,RNA-seq,human,up-regulated,hsa_circ_0000396 and hsa_circ_0130438 were downregulated in the RA group versus the healthy group.
1951,Circular RNA HIPK3 induces cell proliferation and inhibits apoptosis in non-small cell lung cancer through sponging miR-149.,hsa_circ_0000284,hsa_circ_HIPK3,-,non-small cell lung cancer,RT-qPCR,human,up-regulated,circHIPK3 regulates the function of NSCLCs through miR-149-mediated FOXM1 expression regulation.
1952,Circ_0000218 plays a carcinogenic role in colorectal cancer progression by regulating miR-139-3p/RAB1A axis.,hsa_circ_0000218,-,circ_0000218,colorectal cancer,RT-qPCR,human,up-regulated,Circ_0000218 upregulated RAB1A and promoted CRC proliferation and metastasis via sponging miR-139-3p.
1953,Circular circ_0000885 promotes hepatocellular carcinoma proliferation by epigenetically upregulating Caprin1.,hsa_circ_0000885,-,circ_0000885,hepatocellular carcinoma,RT-qPCR,human,up-regulated,Circular circ_0000885 promotes hepatocellular carcinoma proliferation by epigenetically upregulating Caprin1.
1954,Upregulation of circHIPK3 promotes the progression of gastric cancer via Wnt/beta-catenin pathway and indicates a poor prognosis.,hsa_circ_0000284,hsa_circ_HIPK3,-,gastric cancer,RT-qPCR,human,up-regulated,CircHIPK3 promotes GC cells to proliferate and migrate by regulating the Wnt/beta-catenin pathway.
1955,Knockdown of circular RNA CEP128 suppresses proliferation and improves cytotoxic efficacy of temozolomide in glioma cells by regulating miR-145-5p.,-,hsa_circ_CEP128,-,glioma,RT-qPCR,human,up-regulated,Knockdown of circular RNA CEP128 suppresses cell proliferation and improves the cytotoxic efficacy of temozolomide in glioma cells by regulating miR-145-5p.
1956,Circular RNA differential expression in blood cell populations and exploration of circRNA deregulation in pediatric acute lymphoblastic leukemia.,-,hsa_circ_PAX5,-,pediatric acute lymphoblastic leukemia,RNA-seq,human,up-regulated,circRNAs specific of B-cells.
1957,Circular RNA differential expression in blood cell populations and exploration of circRNA deregulation in pediatric acute lymphoblastic leukemia.,-,hsa_circ_AFF3,-,pediatric acute lymphoblastic leukemia,RNA-seq,human,up-regulated,circRNAs specific of B-cells.
1958,Circular RNA differential expression in blood cell populations and exploration of circRNA deregulation in pediatric acute lymphoblastic leukemia.,-,hsa_circ_IL4R,-,pediatric acute lymphoblastic leukemia,RNA-seq,human,up-regulated,circRNAs specific of B-cells.
1959,Circular RNA differential expression in blood cell populations and exploration of circRNA deregulation in pediatric acute lymphoblastic leukemia.,-,hsa_circ_SETBP1,-,pediatric acute lymphoblastic leukemia,RNA-seq,human,up-regulated,circRNAs specific of B-cells.
1960,Circular RNA differential expression in blood cell populations and exploration of circRNA deregulation in pediatric acute lymphoblastic leukemia.,-,hsa_circ_IKZF1,-,acute lymphoblastic leukemia,RNA-seq,human,up-regulated,circRNAs specific of T-cells.
1961,Circular RNA differential expression in blood cell populations and exploration of circRNA deregulation in pediatric acute lymphoblastic leukemia.,-,hsa_circ_TNIK,-,acute lymphoblastic leukemia,RNA-seq,human,up-regulated,circRNAs specific of T-cells.
1962,Circular RNA differential expression in blood cell populations and exploration of circRNA deregulation in pediatric acute lymphoblastic leukemia.,-,hsa_circ_TXK,-,acute lymphoblastic leukemia,RNA-seq,human,up-regulated,circRNAs specific of T-cells.
1963,Circular RNA differential expression in blood cell populations and exploration of circRNA deregulation in pediatric acute lymphoblastic leukemia.,-,hsa_circ_FBXW7,-,acute lymphoblastic leukemia,RNA-seq,human,up-regulated,circRNAs specific of T-cells.
1964,Circular RNA expression profiles in extracellular vesicles from the plasma of patients with pancreatic ductal adenocarcinoma.,hsa_circ_0002130,hsa_circ_C3,-,pancreatic ductal adenocarcinoma,"RT-qPCR, RNA-seq",human,up-regulated,The results indicated that 10 out of 13 circRNAs showed the same change trends and statistical significance as the circRNA-seq data. 
